品牌:
    跃航 :24003
    褶皱布边春色满园 褶皱布边满天星 褶皱布边小玫瑰 褶皱布边紫玫瑰 蕾丝边红花 1号花色 2号花色 3号花色 4号花色 5号花色 带兜蓝色 水晶边大红色 水晶边粉色 水晶边黄色 水晶边紫色 梅花边粉色 爱心边苏菲粉 蕾丝边双开春色满园 梅花边双开粉色 三开苏菲粉 带兜紫色 带兜粉色 似水118型3号 乳白色 白色 米白色 浅灰色 深灰色 灰色 银色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 姜黄色 明黄色 杏色 柠檬黄 桔色 浅黄色 荧光黄 金色 香槟色 黄色 军绿色 墨绿色 浅绿色 绿色 翠绿色 荧光绿 青色 天蓝色 孔雀蓝 宝蓝色 浅蓝色 深蓝色 湖蓝色 蓝色 藏青色 浅紫色 深紫色 紫红色 紫罗兰 紫色 咖啡色 巧克力色 栗色 浅棕色 深卡其布色 深棕色 褐色 驼色 花色 透明 :6548
    普通塑钢方型(经济型) 进口ABS方型(承重王) 进口ABS方型多功能（防臭款） 进口ABS椭圆型（普通款） 进口ABS椭圆升级型（天猫同款） 进口ABS椭圆升级型（无孔款） 进口ABS方形(带提干) 进口ABS椭圆形(带提干) 进口ABS方形全封闭（带提干） 进口ABS椭圆升级型（带提干） 进口ABS椭圆全封闭（带提干） :6075
    【60-80坐高可调】升降款 【53坐高款】椅腿座垫颜色留言 【63坐高款】椅腿座垫颜色留言 【83坐高款】椅腿座垫颜色留言 【73棕架铁圈款】颜色留言 【73原木铁圈款】颜色留言 【73棕架麻绳款】咖啡麻布 【73原木麻绳款】咖啡麻布 【73棕架麻绳款】灰色麻布 【73原木麻绳款】灰色麻布 【73棕架麻绳款】墨绿油蜡皮 【73原木麻绳款】墨绿油蜡皮 【73棕架麻绳款】棕色油蜡皮 【73原木麻绳款】棕色油蜡皮 【73棕架麻绳款】黑色油蜡皮 【73原木麻绳款】黑色油蜡皮 【73棕架麻绳款】复古鹿皮绒 【73原木麻绳款】复古鹿皮绒 【73棕架麻绳】蓝色或绿色麻布 【73原木麻绳】蓝色或绿色麻布 【73棕架麻绳】米字旗或动物图案 【73原木麻绳】米字旗或动物图案 【73棕架麻绳】红色或绿色油蜡皮 【73原木麻绳】红色或绿色油蜡皮 :6361
    小心地滑 注意安全（特价清仓） 正在维修 正在施工 保养中 禁止入内 请勿泊车 空白无内容 禁止停车 禁止吸烟 小心台阶 清洁进行中 清洁卫生暂停使用 危险请勿靠近 电梯检修中暂停使用 工作进行中 车位已满 专用车位 暂停服务 :6944
    72厘米高灰色厚管（赠运费险） 72厘米高红色厚管（赠运费险） 50厘米高灰色厚管（赠运费险） 50厘米高红色方管（赠运费险） 72厘米高红色方管（赠运费险） 75厘米高黑色厚管（赠运费险） 不锈钢75厘米高（赠运费险） 不锈钢72厘米高（带烟缸） 不锈钢50厘米高（赠运费险） 不锈钢72厘米高（赠运费险） 30厘米高红色厚管（赠运费险） 30厘米高灰色厚管（赠运费险） 30厘米不锈钢厚管（赠运费险） 长条桌桌架（联系客服） 40厘米高红色圆管（赠运费险） 72厘米高银色（赠运费险） 不锈钢72高厘米（普通款） 75厘米高红色方管（赠运费险） 72厘米高黑色厚管（赠运费险） 72厘米高红色长方形桌架 72厘米高不锈钢长方桌架 不锈钢60厘米高（赠运费险） 长方形50厘米高（不锈钢材质） 75厘米高红色方管（大圆桌款） :5083
    鸟语花香2个装 蛋糕2个装 情侣2个装 风车与热气球2个装 动物王国-小鸟2个装 大海与蓝鲸2个装 爱情鸟2个装 梦幻世界杯2个装 魔法森林2个装 米鸟笼2个装 要不同花色留言备注 花藤2个装 简约枫叶2个装 浪漫樱花2个装 春2个装 不倒翁2个装 捣蛋鬼2个装 蓝天小鸟2个装 冬景雪人2个装 动物王国2个装 荷2个装 蓝气球2个装 思念-粉2个装 香槟色 柠檬黄 姜黄色 红色 金色 卡其色 浅灰色 绿色 杏色 浅绿色 深灰色 粉红色 军绿色 玫红色 西瓜红 藕色 桔红色 荧光黄 墨绿色 翠绿色 桔色 浅蓝色 蓝色 深蓝色 藏青色 天蓝色 宝蓝色 孔雀蓝 湖蓝色 黄色 酒红色 黑色 青色 浅黄色 荧光绿 白色 乳白色 米白色 深紫色 浅紫色 紫红色 紫罗兰 :6110
    40CM栗子木黑皮 40CM栗子木红面 40CM枫樱木方格 40CM枫樱木灰面 60CM栗子木红面A款 60CM枫樱木灰面A款 60CM栗子木黑皮B款 60CM枫樱木灰面B款 80CM栗子木黑皮A款 80CM栗子木红面A款 80CM枫樱木方格A款 80CM枫樱木灰面A款 80CM栗子木黑皮B款 80CM栗子木红面B款 80CM枫樱木方格B款 80CM枫樱木灰面B款 40CM简易款枫樱木色 60CM双抽屉枫樱木灰面 60CM暖白单抽屉白皮 60CM暖白双抽屉白皮 80CM枫樱木一门灰面 80CM枫樱木双抽屉灰面 80CM栗子木双抽屉黑皮 80CM暖白双抽屉白皮 :9432
    置物架可折叠垃圾桶黑色 置物架可折叠垃圾桶米色 可折叠垃圾桶黑色 可折叠垃圾桶米色 双翻盖垃圾桶红色 双翻盖垃圾桶黄色 双翻盖垃圾桶灰色 双翻盖垃圾桶蓝色 迷你垃圾桶黑色 迷你垃圾桶红色 迷你垃圾桶蓝色 迷你垃圾桶黄色 :5330
    688白色单热型 688白色冷热型 688土豪金单热型 688土豪金冷热型 688金属银单热型 688金属银冷热型 688黑色单热型 688黑色冷热型 688宝马红单热型 688蓝色单热型 699白色冷热型 699银色冷热型 699金色单热型 699金色冷热型 699红色单热型 699红色冷热型 699橙黄色单热型 699橙黄色冷热型 699蓝色单热型 699蓝色冷热型 699玫瑰金单热型 699黑色冷热型 :6818
    黑红棕 水曲柳 琥珀黄 茶红 新红木 花梨 沙比利 原木 奶白 黑胡桃 象牙白 胡桃木 深红棕 紫檀 红橡 新红棕 西南桦 柚木 茶色 樱桃木 栗子色 整套54色（54支） 其他颜色留言框 白色 :7928
    电镀银色（5米送卡板） 电镀红色（10米送卡板） 电镀蓝色（10米送卡板） 电镀金色（10米送卡板） 电镀银色（10米送卡板） 夜光绿色（5米送卡板） 夜光绿色（10米送卡板） 电镀红色（5米送卡板） 电镀蓝色（5米送卡板） 电镀金色（5米送卡板） :5516
    珍珠白+纯白套装（送砂纸） 补漆笔天蓝   送砂纸 补漆笔亮黄   送砂纸 补漆笔激情红   送砂纸 补漆笔珠光黑   送砂纸 补漆笔大红   送砂纸 补漆笔纯白   送砂纸 补漆笔纯黑   送砂纸 补漆笔金属银灰   送砂纸 补漆笔亮银   送砂纸 补漆笔深蓝   送砂纸 补漆笔香槟金  送砂纸 补漆笔糖果白   送砂纸 补漆笔皓白   送砂纸 补漆笔极地白   送砂纸 补漆笔象牙白   送砂纸 补漆笔丝缎银   送砂纸 补漆笔璀璨金   送砂纸 补漆笔梦幻金   送砂纸 补漆笔苹果绿   送砂纸 补漆笔钛灰   送砂纸 补漆笔海豚灰   送砂纸 补漆笔浅灰   送砂纸 补漆笔生动蓝   送砂纸 :14618
    月下 紫恋 蓝恋 绿叶 米绒 烫金 烫金A 苏粉A 树枝 风恋 伊人 浪漫 独秀 牡丹红 牡丹黄 牡丹绿 小镇绿 小镇紫 灰蝴蝶 富贵 慕羽 繁华 欧黄 玫紫 :6259
    迷迭香-草绿 迷迭香-红 简单爱 亚迪斯 花意浓 曲径通幽 莫丽卡 小公主 恋人未满 别样 可秋沙 小木马 叶叶情深 炫语 素颜 低调 一帘幽梦 青花瓷 红格猫叔 中国风 许愿树 晚秋 热带雨林 黑白圈 卡其色 杏色 孔雀蓝 浅灰色 藕色 浅黄色 白色 咖啡色 绿色 军绿色 蓝色 深蓝色 天蓝色 紫色 浅绿色 荧光绿 香槟色 红色 藏青色 巧克力色 宝蓝色 桔色 浅蓝色 驼色 翠绿色 乳白色 银色 黑色 青色 花色 姜黄色 明黄色 黄色 金色 灰色 浅棕色 湖蓝色 墨绿色 荧光黄 :5166
    米色4*2.8厘米60片 米色8.4*4.2厘米20片 米色2.7*2.7厘米90片 米色4.0*4.0厘米40片 米色8.5*8.5厘米10片 米色圆2.7厘米90片 米色圆4.0厘米40片 米色圆6.0厘米10片 米色圆8.5厘米10片 棕色4*2.8厘60片 棕色8.4*4.2厘米20片 棕色2.7*2.7厘米90片 棕色4.0*4.0厘米40片 棕色8.5*8.5厘米10片 棕色圆2.7厘米90片 棕色圆4.0厘米40片 棕色圆6.0厘米10片 棕色圆8.5厘米10片 :21339
    更多颜色拍此选项备注留言 纯白色 象牙白色 暖白色 橡木色 红檀色 红樱桃色 沙比利色 柚木色 红橡色 浅胡桃色 枫木色 红木色 黑胡桃色 花梨色 黄檀色 浅茶青色 西洋杉色 竹黄色 银杉色 白枫木色 水曲柳色 土黄色 琥珀黄色 :9927
    20mm圆形带铁垫片(18只)) 22mm透明方无垫片(20只) 22mm黑方无垫片(20只) 30mm方形带钢垫片(8只) 22mm透明方形带铁垫片（12只） 30mm圆形带钢垫片(8只) 18mm圆形带铁垫片(20只)) 15mm圆形无带垫片(40只)) 30mm方形自粘（8只） 30mm圆形自粘（8只） 锥形小号无带介子（40只） 锥形中号无带介子（30只） 锥形大号带铁垫片（12只） 24mm方形带钢垫片(8只) 38mm方形带垫片(4只) 24mm方形自粘（8只） 38mm方形自粘片（4只) 黑色24mm方形带钢垫片(8只) 黑色30mm方形带钢垫片(8只) 黑色30mm圆带钢垫片(8只) 黑色38mm方形带垫片(4只) 黑50圆50高带自攻螺丝（4个） 黑50圆50高带8厘机丝（4个） 透明50圆50高带自攻螺丝（4个） :11880
    3米链条 普通款黑黄请勿泊车 普通款黑黄禁止停车 普通款黑黄专用车位 普通款黑黄空白无字 普通款红白请勿泊车 普通款红白禁止停车 普通款红白专用车位 普通款红白空白无字 加大款黑/红请勿泊车 加大款黑/红禁止停车 加大款黑/红专用车位 加大款黑/红空白无字 红色本体黑/红请勿泊车 红色本体黑/红禁止停车 红色本体黑/红专用车位 红色本体黑/红空白无字 提环黑/红请勿泊车 提环黑/红专用车位 提环黑/红禁止停车 提环黑/红空白无字 塑料链条10元5米 :17924
    富贵花法莱绒 百合花法莱绒 红叶法莱绒 扇子红金丝绒 扇子紫金丝绒 扇子粉金丝绒 扇子咖金丝绒 紫藤法莱绒 叶叶情法莱绒 小绵羊法莱绒 脚丫法莱绒 小格子法莱绒 红羽毛法莱绒 大嘴猴法莱绒 枫叶法莱绒 百合花布艺 富贵花布艺 岁岁平安布艺 古韵布艺 格调非凡布艺 扇子花米色金丝绒 :5795
    补漆笔亮银 补漆笔钛银 补漆笔金属银灰 补漆笔天蓝 补漆笔珠光黑 纯白+珍珠白套餐 补漆笔大红 补漆笔纯黑 补漆笔深蓝 补漆笔纯白 补漆笔亮黄 补漆笔香槟金 :7600
    粉色5层 蓝色5层 粉色5层+收纳箱 蓝色5层+收纳箱 蓝色四层 粉色四层+收纳箱 蓝色四层+收纳箱 粉色三层 蓝色三层 粉色四层 :7279
    E1：铜阀芯银色单喷枪 E2：银色喷枪+墙座 E3：银色喷枪+1.2m软管+墙座 E4：银色喷枪+1.5m软管+墙座 E5：银色喷枪+2m软管+墙座 E6：银色喷枪+3m软管+墙座 E7银色喷枪+1.2m软管+墙座+角阀 E8银色喷枪+1.5m软管+墙座+角阀 E9：银色喷枪+2m软管+墙座+角阀 E10：银色喷枪+3m软管+墙座+角阀 F1：铜阀芯瓷白色单喷枪 F2：瓷白色喷枪+墙座 F3：瓷白色喷枪+1.5m电话线+墙座 F4：瓷白色喷枪+2m电话线+墙座 F5：瓷白色喷枪+2.5m电话线+墙座 F6：瓷白色喷枪+3m电话线+墙座 F7白色喷枪+1.5m电话线+座+角阀 F8白色喷枪+2m电话线+墙座+角阀 F9白色喷枪+3m电话线+墙座+角阀 G1白喷枪+2M电话线+墙座+双开阀 G2白喷枪+3M电话线+墙座+双开阀 H1银色喷枪+1.5M管+墙座+双开阀 H2银色喷枪+2M管+墙座+双开阀 I1 :5879
    浅胡桃色100*40*92 特价包邮 浅胡桃色120*40*92 特价包邮 浅胡桃色140*40*92 特价包邮 浅胡桃色160*40*92 特价包邮 黑胡桃色100*40*92 特价包邮 黑胡桃色120*40*92 特价包邮 黑胡桃色140*40*92 特价包邮 黑胡桃色160*40*92 特价包邮 白色100*40*92 特价包邮 白色120*40*92 特价包邮 白色140*40*92 特价包邮 白色160*40*92 特价包邮 柚木色100*40*92 特价包邮 柚木色120*40*92 特价包邮 柚木色140*40*92 特价包邮 柚木色160*40*92 特价包邮 白枫色100*40*92 特价包邮 白枫色120*40*92 特价包邮 白枫色140*40*92 特价包邮 白枫色160*40*92 特价包邮 :10724
货号:
    01 :16168
    other :5960
    马桶贴套装 :9475
    HF-90 :5860
    彩色软质玻璃 :5031
    木纹 :5703
    HM-12 :6954
    DL0630XW :10551
    同步木纹-花梨木 :8077
    001 :64979
    宜家家居饰品店 :16368
    005 :8396
    003 :6472
    MZT-001 :11595
    111 :5323
    006 :7586
    008 :11801
    1915 :8648
    9861 :5709
    HM-000008 :9415
    999 :8306
    45厘米宽厂家直销玻璃纸 :10252
    其他货号 :83673
    开关贴 :7180
    G78 :5637
    SFT005 :6530
    MS-023 :5237
    玻璃贴 :8321
    00 :6031
    B321 :9686
    无 :9760
    10 :8897
    5578 :6263
    24cm工艺船 :5307
    002 :12710
    123 :9070
    H225 :7633
    pvc :17154
    史努比 :6254
    H104 :16847
    ZX-168 :12488
    007 :7630
    0001 :6491
    0012 :6535
    888 :5706
    LJ-201703080725 :5346
    电动螺丝刀起子 :7372
    精致纹理-古铜色 :6749
    100 :10370
    1 :34694
    xz052 :10674
    电视机罩 :8416
    10片装 :23000
    000 :5586
    野玫瑰 :7368
    见详情 :43773
    磨毛布 :6879
层数:
    单层 :18827
    4层 :83741
    3层 :155408
    11层 :5783
    3层 4层 5层 :5067
    收藏有礼 :5264
    多层 :8845
    卡通衣柜 :6784
    2层 :108422
    6层 :13825
    10层 :7343
    2层 3层 4层 5层 6层 7层 :9488
    1层 :61686
    其他 :48321
    5层 :66499
    3层 4层 5层 6层 7层 :50134
    双层 :19073
金属材质:
    铝合金 :45127
    不锈钢 :52544
    铁 :198757
    铁合金 :48500
    其他 :63011
    钢 :250278
形状:
    不规则 :9121
    异形 :12296
    其他 :19163
    卷材 :8173
    长方形面 :18009
    直角 :8210
    条形 :48010
    圆形 :110707
    U形 :39857
    其他/other :13833
    方形 :72301
    椭圆形 :20800
    圆桶形 :9097
    长方形 :220965
    正方形 :19216
    片状 :8573
面料:
    法兰绒 :11932
    聚酯纤维 :44704
    棉 :31737
    麻 :63808
    复合面料 :167766
    涤纶 :10198
    其他 :152724
    混纺 :42493
    绒质 :47485
    棉布 :9982
功能:
    带抽屉 移动 防火 透明 玻璃门 :15965
    带抽屉 移动 防火 :20603
    带抽屉 移动 防火 透明 玻璃门 其他 :27247
    移动 其他 :5770
    过载保护 :20162
    带抽屉 移动 防火 其他 :15054
    保暖 :11982
    遮光 透光 透景 :10620
    蓄热保暖 :21101
    带抽屉 移动 防火 玻璃门 其他 :5884
    招财 :108408
    拆装 :8144
    镇宅 :10803
    其他 :25165
    装饰 :17635
    多功能 :23565
    防雷 :21388
    学业 :16109
    姻缘 :38325
    带抽屉 移动 其他 :28146
    带抽屉 移动 :64964
    带抽屉 :30207
    聚拢 :7226
衣柜类型:
    卡通衣柜 :60682
    儿童衣柜 :9085
    成人衣柜 :430046
    儿童衣柜 成人衣柜 :44488
可送货/安装:
    北京 :9968
    北京 南昌市 哈尔滨市 西安市 郑州市 金华市 长沙市 常州市 成都市 东莞市 佛山市 福州市 广州市 杭州市 南京市 南宁市 宁波市 青岛市 上海 深圳市 苏州市 台州市 天津 温州市 无锡市 武汉市 厦门市 重庆 :5131
    全国 :8180
    其他 南昌市 哈尔滨市 大连市 沈阳市 西安市 贵阳市 郑州市 金华市 长沙市 北京 常州市 成都市 东莞市 佛山市 福州市 广州市 杭州市 南京市 南宁市 宁波市 青岛市 上海 深圳市 苏州市 台州市 天津 温州市 无锡市 武汉市 厦门市 重庆 :6435
    其他 北京 南昌市 哈尔滨市 大连市 沈阳市 西安市 贵阳市 郑州市 金华市 长沙市 常州市 成都市 东莞市 佛山市 福州市 广州市 杭州市 南京市 南宁市 宁波市 青岛市 上海 深圳市 苏州市 台州市 天津 温州市 无锡市 武汉市 厦门市 重庆 :9425
    其他 南京市 南昌市 哈尔滨市 大连市 天津 宁波市 成都市 杭州市 武汉市 沈阳市 温州市 苏州市 西安市 贵阳市 郑州市 重庆 金华市 长沙市 上海 东莞市 北京 广州市 深圳市 福州市 青岛市 无锡市 台州市 常州市 佛山市 厦门市 南宁市 :5776
    南昌市 哈尔滨市 大连市 沈阳市 西安市 贵阳市 郑州市 金华市 长沙市 北京 常州市 上海 东莞市 广州市 佛山市 深圳市 杭州市 福州市 宁波市 温州市 南京市 成都市 南宁市 青岛市 苏州市 台州市 天津 无锡市 武汉市 厦门市 重庆 :7104
    上海 其他 北京 南京市 南昌市 哈尔滨市 大连市 天津 广州市 成都市 杭州市 武汉市 沈阳市 深圳市 温州市 苏州市 西安市 贵阳市 郑州市 重庆 金华市 长沙市 东莞市 宁波市 福州市 青岛市 无锡市 台州市 常州市 佛山市 厦门市 南宁市 :6234
    其他 北京 南昌市 哈尔滨市 大连市 沈阳市 贵阳市 郑州市 金华市 长沙市 常州市 成都市 东莞市 佛山市 福州市 广州市 杭州市 南京市 南宁市 宁波市 青岛市 上海 深圳市 苏州市 台州市 天津 温州市 无锡市 武汉市 厦门市 重庆 西安市 :9020
    北京 南昌市 哈尔滨市 大连市 沈阳市 西安市 贵阳市 郑州市 金华市 长沙市 常州市 成都市 东莞市 佛山市 福州市 广州市 杭州市 南京市 南宁市 宁波市 青岛市 上海 深圳市 苏州市 台州市 天津 温州市 无锡市 武汉市 厦门市 重庆 :5952
    其他 南昌市 哈尔滨市 大连市 沈阳市 西安市 贵阳市 郑州市 金华市 长沙市 北京 常州市 上海 东莞市 广州市 佛山市 深圳市 杭州市 福州市 宁波市 温州市 南京市 成都市 南宁市 青岛市 苏州市 台州市 天津 无锡市 武汉市 厦门市 重庆 :9103
    北京 南昌市 哈尔滨市 大连市 沈阳市 西安市 贵阳市 郑州市 金华市 长沙市 常州市 成都市 东莞市 佛山市 福州市 广州市 杭州市 南京市 南宁市 宁波市 青岛市 上海 深圳市 苏州市 台州市 天津 温州市 无锡市 武汉市 厦门市 重庆 :23871
    北京 长沙市 成都市 大连市 广州市 贵阳市 哈尔滨市 杭州市 金华市 南昌市 南京市 宁波市 上海 深圳市 沈阳市 苏州市 天津 温州市 武汉市 西安市 郑州市 重庆 东莞市 福州市 青岛市 无锡市 台州市 常州市 佛山市 厦门市 南宁市 :7295
    其他 南昌市 哈尔滨市 大连市 沈阳市 西安市 贵阳市 郑州市 金华市 长沙市 北京 常州市 上海 东莞市 广州市 佛山市 深圳市 杭州市 福州市 宁波市 温州市 南京市 成都市 南宁市 青岛市 苏州市 台州市 天津 无锡市 武汉市 厦门市 重庆 :21361
    上海 其他 北京 南京市 南昌市 哈尔滨市 大连市 天津 宁波市 广州市 成都市 杭州市 武汉市 沈阳市 深圳市 温州市 苏州市 西安市 贵阳市 郑州市 重庆 金华市 长沙市 东莞市 福州市 青岛市 无锡市 台州市 常州市 佛山市 厦门市 南宁市 :24252
    重庆 郑州市 西安市 武汉市 温州市 天津 苏州市 沈阳市 深圳市 上海 宁波市 南京市 南昌市 金华市 杭州市 哈尔滨市 贵阳市 广州市 大连市 成都市 长沙市 北京 东莞市 福州市 青岛市 无锡市 台州市 常州市 佛山市 厦门市 南宁市 :5251
    其他 北京 南昌市 哈尔滨市 大连市 沈阳市 西安市 贵阳市 郑州市 金华市 长沙市 常州市 成都市 东莞市 佛山市 福州市 广州市 杭州市 南京市 南宁市 宁波市 青岛市 上海 深圳市 苏州市 台州市 天津 温州市 无锡市 武汉市 厦门市 重庆 :20046
    其他 :57067
    全部城市 北京 南昌市 哈尔滨市 大连市 沈阳市 西安市 贵阳市 郑州市 金华市 长沙市 常州市 成都市 东莞市 佛山市 福州市 广州市 杭州市 南京市 南宁市 宁波市 青岛市 上海 深圳市 苏州市 台州市 天津 温州市 无锡市 武汉市 厦门市 重庆 :24639
    上海 北京 南京市 南昌市 哈尔滨市 大连市 天津 宁波市 广州市 成都市 杭州市 武汉市 沈阳市 深圳市 温州市 苏州市 西安市 贵阳市 郑州市 重庆 金华市 长沙市 东莞市 福州市 青岛市 无锡市 台州市 常州市 佛山市 厦门市 南宁市 :5158
    长沙市 金华市 重庆 郑州市 贵阳市 西安市 苏州市 温州市 深圳市 沈阳市 武汉市 杭州市 成都市 广州市 宁波市 天津 大连市 哈尔滨市 南昌市 南京市 北京 其他 上海 东莞市 福州市 青岛市 无锡市 台州市 常州市 佛山市 厦门市 南宁市 :6569
    全部城市 北京 南昌市 哈尔滨市 大连市 沈阳市 西安市 贵阳市 郑州市 金华市 长沙市 常州市 成都市 东莞市 佛山市 福州市 广州市 杭州市 南京市 南宁市 宁波市 青岛市 上海 深圳市 苏州市 台州市 天津 温州市 无锡市 武汉市 厦门市 重庆 :10157
    上海 其他 北京 南京市 南昌市 哈尔滨市 大连市 天津 宁波市 广州市 成都市 杭州市 武汉市 沈阳市 深圳市 温州市 苏州市 西安市 贵阳市 郑州市 重庆 金华市 长沙市 东莞市 福州市 青岛市 无锡市 台州市 常州市 佛山市 厦门市 南宁市 :78951
    上海 全部城市 北京 南京市 南昌市 哈尔滨市 大连市 天津 宁波市 广州市 成都市 杭州市 武汉市 沈阳市 深圳市 温州市 苏州市 西安市 贵阳市 郑州市 重庆 金华市 长沙市 东莞市 福州市 青岛市 无锡市 台州市 常州市 佛山市 厦门市 南宁市 :7652
    上海 北京 南京市 南昌市 哈尔滨市 大连市 天津 宁波市 广州市 成都市 杭州市 武汉市 沈阳市 深圳市 温州市 苏州市 西安市 贵阳市 郑州市 重庆 金华市 长沙市 东莞市 福州市 青岛市 无锡市 台州市 常州市 佛山市 厦门市 南宁市 :34125
    全部城市 :46157
    北京 常州市 成都市 东莞市 佛山市 福州市 广州市 杭州市 南京市 南宁市 宁波市 青岛市 上海 深圳市 苏州市 台州市 天津 温州市 无锡市 武汉市 厦门市 重庆 西安市 长沙市 金华市 沈阳市 大连市 贵阳市 哈尔滨市 郑州市 南昌市 :6221
    上海 :31993
    北京 常州市 成都市 东莞市 佛山市 福州市 广州市 杭州市 南京市 南宁市 全国 宁波市 青岛市 上海 深圳市 苏州市 台州市 天津 温州市 无锡市 武汉市 厦门市 重庆 西安市 长沙市 金华市 沈阳市 大连市 贵阳市 哈尔滨市 郑州市 南昌市 全部城市 :7428
尺寸:
    腰枕+u型枕 :6493
    600*600 :5363
    0.6m以下 :8782
    0.53mx1.4m :30015
    300*300 :37770
    90-140cm单人座 235-300cm四人座 145-185cm双人座 195-230cm三人座 抱枕含芯2个45*45 :6284
    40X40cm :12138
    1500mm*2000mm 1800mm*2000mm :7177
    40X40cm 45x45cm :14740
    50X80厘米（室内门口） 60X90厘米（防盗门口） 80X100厘米（防盗门口） 80X120厘米（防盗门口） 100X120厘米（防盗门口） 80X200厘米（床边） 100X200厘米（床边） 80X160厘米（床边） 120X160厘米（床边客厅） 160X240厘米（客厅） 120X180厘米（床边客厅） 40X60厘米（收藏买一送一） 45X70厘米（室内门口） 100X160厘米（床边） :5004
    单人90~140cm范围 双人145~185cm范围 三人190~230cm范围 四人235~300cm范围 脚踏90*90可定做 :8551
    40X40cm 45x45cm 50X50cm 55X55cm 60X60CM :6111
    30×30 :33845
    1m(含)-1.2m(不含) :6793
    600*600 800*800 :5443
    大 :7621
    300*300 300*600 :32497
    三人190—230cm 单人90—140cm 四人235—300cm 双人145—185cm :6140
    其它 :45970
    1500mm*2000mm 1800mm*2000mm :7850
    其他尺寸 :9899
    中等 :7078
    单面图案/约32*32厚4cm 双面图案/约39*39厚7cm :14155
    1.2m以上 :11647
    40*40厘米【标准款】 45*45厘米【加大款】 :9553
    40X40cm 45x45cm 50X50cm :5058
    其他/other :16013
    其他 :18030
    120-155cm长度适用 160-190cm长度适用 :22987
    800*800 :25465
    300*600 :11190
    5英寸 :7280
    0.8m(含)-1m(不含) 1m(含)-1.2m(不含) 1.2m以上 :5119
    45x45cm :6617
    4英寸 :17714
    0.53mx0.9m :6617
    尺寸请参考分类尺寸 :7187
是否带滚轮:
    否 :452149
    是 :39481
适用人群:
    大众 :295223
    成人 :139773
    儿童 :22540
    90后 :8471
    80后 :13058
是否可升降:
    否 :124592
    是 :317098
尺寸/加工方式:
    特大 :68467
    小 中 大 :18963
    小 中 大 特大 超大 超小 :8594
    中 大 :8129
    小 中 大 特大 超大 :17331
    小 :11304
    小 大 :10501
    大 :181419
    中 :42480
    小 中 大 特大 :11579
    超大 :41151
产品:
    纱窗 :6564
    化纤 :77778
    其他/other :16579
    布衣柜/简易衣柜 :26957
    门开式收纳柜 :43897
    抽屉式收纳柜 :143862
    混纺 :82037
墙贴样式:
    镜面墙贴 :6284
    立体墙贴 :101372
    平面墙贴 :281746
是否带储物空间:
    否 :245665
    是 :139422
墙贴类型:
    踢脚线墙贴 :12511
    涂鸦墙贴 :7089
    其他 :25912
    防水墙贴 :330665
款式:
    单杆式 :7071
    横式 :8618
    床单式 :47272
    推拉式 :7244
    平面 :7337
    领子/毛领/假领 :6771
    立式空调罩 :63955
    套头 :6107
    全包围式 :5510
    三角裤 :5082
    包头 :12526
    立体式 :8478
    挂式空调罩 :57208
    贴片 :60217
    高包跟 :5520
    其他 :6334
    可调档 :10134
    一字型 :13845
    单把单孔 :6445
    床单式 床笠式 :9504
    围巾/丝巾 :14521
    蒙古包式 :5221
流行元素:
    车缝线 :10470
    粉嫩少女心 :5104
    coulorful :23945
    马卡龙色 :70669
    宫廷风 :12193
    复古风 :16387
    卡通 :44763
    纯色 :76688
    小清新 :43895
    田园风 :60856
    皮革拼接 :5588
塑料材质:
    ABS :161639
    其他 :141352
    PVC :62912
售卖方式:
    成品地毯（元/块） :163923
    散剪 :170109
    定制地毯（元/平） :27350
厚度:
    25mm :6225
    0.5mm :5005
    18mm :6382
    12mm :18202
    16mm :9154
    1.0mm :8212
    2mm :16725
    15mm :24501
    1.2mm(含)-3.2mm(含) :6353
    0.5mm 0.6mm 0.7mm 0.8mm :8949
    0.7mm :14617
    0.6mm :9812
    1.2mm :20424
    3mm :21039
    0.6mm 0.7mm 0.8mm 0.9mm :19944
    1.5mm :5842
    其他/other :26106
    其他 :16158
    400mm :42923
    0.6mm 0.7mm 0.8mm :8182
    1mm :6740
    0.8mm :23175
    30mm :13739
    2.5mm :5308
开合方式:
    翻开门 :33141
    推拉滑移门 :58508
    翻开门 对开门 :5698
    感应式 :7503
    单开门 :7780
    折叠 :19702
    对开门 :91136
    平开门式 :71531
    开门柜 :24139
    推拉 :13176
适用人数:
    4人 :20177
    6人 :18943
    16人-20人 :10791
    8人 :5159
    5人以下 :14619
    单人 :90260
    11人-15人 :13598
    6人-10人 :14845
    其他 :16553
    组合 :49963
    单人 双人 三人 :7802
    20人以上 :12469
    2人 :47642
清洗类型:
    吸尘 干洗 可手洗 可机洗 其他/other :54111
    干洗 吸尘 可手洗 可机洗 其他/other :5853
    吸尘 干洗 其他/other :7464
    吸尘 干洗 可手洗 可机洗 :17235
    吸尘 干洗 可手洗 :10099
    可手洗 :24579
    可手洗 可机洗 吸尘 :21522
    可手洗 可机洗 吸尘 干洗 :6200
    吸尘 :11962
    可手洗 吸尘 :18269
    吸尘 可手洗 可机洗 :9155
    吸尘 干洗 可手洗 其他/other :7249
    吸尘 干洗 :9930
    可手洗 吸尘 干洗 :12584
    吸尘 可手洗 可机洗 其他/other :6669
